nameWithOwner,primaryLanguage,stars,totalIssues,openIssues,closedIssues
lerna/lerna,JavaScript,25126,1912,486,1426
vuejs/vuex,JavaScript,25059,1059,45,1014
request/request,JavaScript,24861,2180,129,2051
select2/select2,JavaScript,24693,4534,41,4493
Modernizr/Modernizr,JavaScript,24599,1437,154,1283
donnemartin/system-design-primer,Python,110224,140,88,52
public-apis/public-apis,Python,98842,157,5,152
jackfrued/Python-100-Days,Python,94676,428,356,72
TheAlgorithms/Python,Python,90519,501,23,478
vinta/awesome-python,Python,88160,179,2,177
tensorflow/models,Python,66889,5967,853,5114
nvbn/thefuck,Python,56816,561,194,367
pallets/flask,Python,52599,2007,19,1988
httpie/httpie,Python,48543,636,103,533
josephmisiti/awesome-machine-learning,Python,47108,69,0,69
ansible/ansible,Python,45423,28325,1504,26821
psf/requests,Python,43796,3271,243,3028
scikit-learn/scikit-learn,Python,42734,7978,1536,6442
scrapy/scrapy,Python,38699,2320,456,1864
minimaxir/big-list-of-naughty-strings,Python,38062,77,50,27
ageitgey/face_recognition,Python,36865,1057,537,520
home-assistant/core,Python,36778,17166,1200,15966
huggingface/transformers,Python,35779,4799,487,4312
521xueweihan/HelloGitHub,Python,34369,1413,4,1409
deepfakes/faceswap,Python,32955,640,5,635
apache/incubator-superset,Python,30568,5073,312,4761
XX-net/XX-Net,Python,30418,12693,7630,5063
0voice/interview_internal_reference,Python,29202,38,20,18
isocpp/CppCoreGuidelines,Python,28938,847,158,689
testerSunshine/12306,Python,28780,642,186,456
floodsung/Deep-Learning-Papers-Reading-Roadmap,Python,28545,42,39,3
apachecn/AiLearning,Python,27621,94,35,59
certbot/certbot,Python,27296,4589,491,4098
pandas-dev/pandas,Python,27048,19197,3400,15797
localstack/localstack,Python,26991,1980,262,1718
3b1b/manim,Python,26492,722,243,479
getsentry/sentry,Python,26401,4186,234,3952
faif/python-patterns,Python,26164,66,10,56
fighting41love/funNLP,Python,25596,33,6,27
google-research/bert,Python,25437,987,666,321
fxsjy/jieba,Python,24476,724,531,193
facebookresearch/Detectron,Python,23791,893,288,605
satwikkansal/wtfpython,Python,22500,129,28,101
tiangolo/fastapi,Python,22491,1491,346,1145
openai/gym,Python,22486,1213,162,1051
ycm-core/YouCompleteMe,Python,22032,2933,22,2911
0xAX/linux-insides,Python,21886,165,40,125
CorentinJ/Real-Time-Voice-Cloning,Python,21147,482,6,476
pypa/pipenv,Python,21123,3221,438,2783
donnemartin/interactive-coding-challenges,Python,21063,54,25,29
hankcs/HanLP,Python,21049,1258,13,1245
docker/compose,Python,20987,5139,397,4742
littlecodersh/ItChat,Python,20905,814,218,596
iperov/DeepFaceLab,Python,20754,814,181,633
mitmproxy/mitmproxy,Python,20265,2343,287,2056
donnemartin/data-science-ipython-notebooks,Python,19682,28,8,20
chubin/cheat.sh,Python,19559,142,70,72
tornadoweb/tornado,Python,19509,1602,175,1427
trailofbits/algo,Python,19465,1339,77,1262
geekcomputers/Python,Python,19117,179,108,71
encode/django-rest-framework,Python,19105,3566,198,3368
apache/airflow,Python,18715,2107,733,1374
swisskyrepo/PayloadsAllTheThings,Python,18710,49,6,43
matterport/Mask_RCNN,Python,18666,2163,1470,693
yunjey/pytorch-tutorial,Python,18529,162,51,111
sqlmapproject/sqlmap,Python,18487,4058,46,4012
psf/black,Python,18302,1226,325,901
eriklindernoren/ML-From-Scratch,Python,18292,55,22,33
keon/algorithms,Python,18031,123,41,82
google/python-fire,Python,17915,193,69,124
explosion/spaCy,Python,17506,4281,144,4137
drduh/macOS-Security-and-Privacy-Guide,Python,17352,220,6,214
sebastianruder/NLP-progress,Python,17031,84,20,64
nicolargo/glances,Python,17026,1276,186,1090
wangzheng0822/algo,Python,16882,109,88,21
sherlock-project/sherlock,Python,16357,399,33,366
StevenBlack/hosts,Python,16290,998,36,962
tqdm/tqdm,Python,16214,681,214,467
celery/celery,Python,16052,4282,415,3867
magenta/magenta,Python,15840,774,247,527
gto76/python-cheatsheet,Python,15609,20,4,16
numpy/numpy,Python,15234,9026,1944,7082
instillai/TensorFlow-Course,Python,15052,11,0,11
charlax/professional-programming,Python,14680,9,0,9
binux/pyspider,Python,14651,797,254,543
deezer/spleeter,Python,14493,450,77,373
ipython/ipython,Python,14450,6489,1369,5120
pytorch/examples,Python,14447,439,212,227
toml-lang/toml,Python,14371,387,27,360
luong-komorebi/Awesome-Linux-Software,Python,14335,104,9,95
huge-success/sanic,Python,14215,928,52,876
jumpserver/jumpserver,Python,14168,2870,138,2732
locustio/locust,Python,14143,1038,30,1008
bokeh/bokeh,Python,14136,6206,575,5631
bitcoinbook/bitcoinbook,Python,14119,269,47,222
microsoft/cascadia-code,Python,13985,311,49,262
OWASP/CheatSheetSeries,Python,13922,178,33,145
nginx-proxy/nginx-proxy,Python,13904,1114,550,564
wangshub/wechat_jump_game,Python,13891,984,26,958
spotify/luigi,Python,13852,872,42,830
cool-RR/PySnooper,Python,13835,105,16,89
ray-project/ray,Python,13616,4831,1294,3537
openai/gpt-2,Python,13427,211,89,122
willmcgugan/rich,Python,13390,240,10,230
junyanz/pytorch-CycleGAN-and-pix2pix,Python,13355,1060,260,800
CyC2018/CS-Notes,Java,113443,441,58,383
Snailclimb/JavaGuide,Java,90660,476,29,447
iluwatar/java-design-patterns,Java,61665,642,228,414
MisterBooo/LeetCodeAnimation,Java,60289,46,6,40
elastic/elasticsearch,Java,51985,25204,2667,22537
spring-projects/spring-boot,Java,51353,19314,462,18852
doocs/advanced-java,Java,49063,114,14,100
kdn251/interviews,Java,48559,45,27,18
ReactiveX/RxJava,Java,43666,2975,11,2964
macrozheng/mall,Java,42703,344,15,329
spring-projects/spring-framework,Java,39876,20152,904,19248
google/guava,Java,39146,3187,651,2536
square/okhttp,Java,38544,3230,75,3155
square/retrofit,Java,36827,2430,107,2323
apache/dubbo,Java,33873,3847,649,3198
PhilJay/MPAndroidChart,Java,31988,4553,1752,2801
TheAlgorithms/Java,Java,31602,281,97,184
bumptech/glide,Java,30116,3826,143,3683
airbnb/lottie-android,Java,29947,1194,36,1158
Blankj/AndroidUtilCode,Java,28121,1173,8,1165
zxing/zxing,Java,26465,1028,7,1021
kon9chunkit/GitHub-Chinese-Top-Charts,Java,25717,116,72,44
JakeWharton/butterknife,Java,25496,1139,93,1046
crossoverJie/JCSprout,Java,25378,89,30,59
netty/netty,Java,25065,5236,397,4839
ityouknow/spring-boot-examples,Java,23936,97,2,95
skylot/jadx,Java,23756,732,127,605
alibaba/arthas,Java,23453,1099,127,972
eugenp/tutorials,Java,23443,429,15,414
greenrobot/EventBus,Java,22917,531,94,437
ctripcorp/apollo,Java,22661,2234,160,2074
NationalSecurityAgency/ghidra,Java,22622,1924,832,1092
alibaba/fastjson,Java,22529,2867,1421,1446
alibaba/druid,Java,22472,2948,1798,1150
scwang90/SmartRefreshLayout,Java,21646,1238,104,1134
CymChad/BaseRecyclerViewAdapterHelper,Java,20940,3085,252,2833
Netflix/Hystrix,Java,20542,1005,333,672
geekxh/hello-algorithm,Java,19645,22,0,22
ReactiveX/RxAndroid,Java,19174,338,0,338
lenve/vhr,Java,19033,207,124,83
SeleniumHQ/selenium,Java,18936,6803,285,6518
google/gson,Java,18700,1329,457,872
xkcoding/spring-boot-demo,Java,18614,111,54,57
hollischuang/toBeTopJavaer,Java,17791,61,21,40
square/picasso,Java,17698,1512,185,1327
seata/seata,Java,17617,1763,415,1348
libgdx/libgdx,Java,17592,3212,155,3057
alibaba/easyexcel,Java,17389,1495,98,1397
chrisbanes/PhotoView,Java,17240,623,151,472
qiurunze123/miaosha,Java,17146,48,19,29
wuyouzhuguli/SpringAll,Java,17132,32,8,24
halo-dev/halo,Java,17056,725,69,656
zhangdaiscott/jeecg-boot,Java,16817,1597,52,1545
nostra13/Android-Universal-Image-Loader,Java,16747,1207,436,771
google/ExoPlayer,Java,16544,7171,413,6758
facebook/fresco,Java,16359,2139,119,2020
alibaba/canal,Java,16265,2677,364,2313
alibaba/spring-cloud-alibaba,Java,16176,1183,265,918
looly/hutool,Java,16173,942,2,940
xuxueli/xxl-job,Java,16043,1771,315,1456
dbeaver/dbeaver,Java,15769,9085,1247,7838
didi/DoraemonKit,Java,15759,432,67,365
shuzheng/zheng,Java,15655,94,32,62
bazelbuild/bazel,Java,15567,8152,1981,6171
Tencent/tinker,Java,15403,1356,332,1024
CarGuo/GSYVideoPlayer,Java,15047,2866,17,2849
apache/skywalking,Java,14975,2838,58,2780
alibaba/nacos,Java,14703,2938,287,2651
redisson/redisson,Java,14671,2818,178,2640
android10/Android-CleanArchitecture,Java,14543,246,124,122
linlinjava/litemall,Java,14540,298,31,267
