nameWithOwner,primaryLanguage,stars,totalIssues,openIssues,closedIssues
tqdm/tqdm,Python,16214,681,214,467
celery/celery,Python,16052,4282,415,3867
magenta/magenta,Python,15839,774,247,527
gto76/python-cheatsheet,Python,15608,20,4,16
numpy/numpy,Python,15235,9026,1944,7082
instillai/TensorFlow-Course,Python,15052,11,0,11
charlax/professional-programming,Python,14679,9,0,9
binux/pyspider,Python,14651,797,254,543
deezer/spleeter,Python,14493,450,77,373
ipython/ipython,Python,14450,6489,1369,5120
pytorch/examples,Python,14447,439,212,227
toml-lang/toml,Python,14371,387,27,360
luong-komorebi/Awesome-Linux-Software,Python,14334,104,9,95
huge-success/sanic,Python,14214,928,52,876
jumpserver/jumpserver,Python,14167,2870,138,2732
locustio/locust,Python,14142,1038,30,1008
bokeh/bokeh,Python,14136,6205,574,5631
bitcoinbook/bitcoinbook,Python,14119,269,47,222
microsoft/cascadia-code,Python,13983,311,49,262
OWASP/CheatSheetSeries,Python,13920,178,33,145
nginx-proxy/nginx-proxy,Python,13903,1114,550,564
wangshub/wechat_jump_game,Python,13891,984,26,958
spotify/luigi,Python,13852,872,42,830
cool-RR/PySnooper,Python,13835,105,16,89
ray-project/ray,Python,13614,4831,1294,3537
openai/gpt-2,Python,13426,211,89,122
willmcgugan/rich,Python,13390,240,10,230
junyanz/pytorch-CycleGAN-and-pix2pix,Python,13354,1060,260,800
CyC2018/CS-Notes,Java,113438,441,58,383
Snailclimb/JavaGuide,Java,90660,476,29,447
iluwatar/java-design-patterns,Java,61663,642,228,414
MisterBooo/LeetCodeAnimation,Java,60289,46,6,40
elastic/elasticsearch,Java,51984,25204,2667,22537
spring-projects/spring-boot,Java,51352,19311,467,18844
doocs/advanced-java,Java,49061,114,14,100
kdn251/interviews,Java,48559,45,27,18
ReactiveX/RxJava,Java,43666,2975,11,2964
macrozheng/mall,Java,42703,344,15,329
spring-projects/spring-framework,Java,39876,20152,904,19248
google/guava,Java,39146,3187,651,2536
square/okhttp,Java,38544,3230,75,3155
square/retrofit,Java,36825,2430,107,2323
apache/dubbo,Java,33873,3847,649,3198
PhilJay/MPAndroidChart,Java,31988,4553,1752,2801
TheAlgorithms/Java,Java,31603,281,97,184
bumptech/glide,Java,30115,3825,142,3683
airbnb/lottie-android,Java,29945,1194,36,1158
Blankj/AndroidUtilCode,Java,28120,1173,8,1165
zxing/zxing,Java,26464,1028,7,1021
kon9chunkit/GitHub-Chinese-Top-Charts,Java,25715,116,72,44
JakeWharton/butterknife,Java,25496,1139,93,1046
crossoverJie/JCSprout,Java,25378,89,30,59
netty/netty,Java,25065,5236,397,4839
ityouknow/spring-boot-examples,Java,23935,97,2,95
skylot/jadx,Java,23756,732,127,605
alibaba/arthas,Java,23453,1098,126,972
eugenp/tutorials,Java,23443,429,15,414
greenrobot/EventBus,Java,22917,531,94,437
ctripcorp/apollo,Java,22661,2234,160,2074
NationalSecurityAgency/ghidra,Java,22621,1924,832,1092
alibaba/fastjson,Java,22529,2867,1421,1446
alibaba/druid,Java,22471,2948,1798,1150
scwang90/SmartRefreshLayout,Java,21646,1238,104,1134
CymChad/BaseRecyclerViewAdapterHelper,Java,20940,3085,252,2833
Netflix/Hystrix,Java,20542,1005,333,672
geekxh/hello-algorithm,Java,19644,22,0,22
ReactiveX/RxAndroid,Java,19174,338,0,338
lenve/vhr,Java,19033,207,124,83
SeleniumHQ/selenium,Java,18935,6803,285,6518
google/gson,Java,18700,1329,457,872
xkcoding/spring-boot-demo,Java,18613,111,54,57
hollischuang/toBeTopJavaer,Java,17777,61,21,40
square/picasso,Java,17698,1512,185,1327
seata/seata,Java,17617,1763,415,1348
libgdx/libgdx,Java,17591,3212,155,3057
alibaba/easyexcel,Java,17389,1495,98,1397
chrisbanes/PhotoView,Java,17240,623,151,472
qiurunze123/miaosha,Java,17145,48,19,29
wuyouzhuguli/SpringAll,Java,17132,32,8,24
halo-dev/halo,Java,17055,725,69,656
zhangdaiscott/jeecg-boot,Java,16815,1597,52,1545
nostra13/Android-Universal-Image-Loader,Java,16747,1207,436,771
google/ExoPlayer,Java,16544,7171,414,6757
facebook/fresco,Java,16358,2139,119,2020
alibaba/canal,Java,16264,2677,364,2313
alibaba/spring-cloud-alibaba,Java,16176,1183,265,918
looly/hutool,Java,16173,942,2,940
xuxueli/xxl-job,Java,16043,1771,315,1456
dbeaver/dbeaver,Java,15768,9085,1247,7838
didi/DoraemonKit,Java,15759,432,67,365
shuzheng/zheng,Java,15655,94,32,62
bazelbuild/bazel,Java,15566,8147,1977,6170
Tencent/tinker,Java,15403,1356,332,1024
CarGuo/GSYVideoPlayer,Java,15047,2866,17,2849
apache/skywalking,Java,14975,2838,58,2780
alibaba/nacos,Java,14703,2938,287,2651
redisson/redisson,Java,14671,2818,178,2640
android10/Android-CleanArchitecture,Java,14542,246,124,122
linlinjava/litemall,Java,14539,298,31,267
mybatis/mybatis-3,Java,14453,1042,101,941
dianping/cat,Java,14441,1049,77,972
forezp/SpringCloudLearning,Java,14380,45,34,11
alibaba/Sentinel,Java,14187,1248,233,1015
brettwooldridge/HikariCP,Java,13970,1353,222,1131
signalapp/Signal-Android,Java,13928,7880,729,7151
oracle/graal,Java,13793,2075,585,1490
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,Java,13658,381,310,71
JeffLi1993/springboot-learning-example,Java,13620,72,9,63
openzipkin/zipkin,Java,13585,1182,139,1043
lottie-react-native/lottie-react-native,Java,13484,517,90,427
hdodenhof/CircleImageView,Java,13478,343,3,340
lgvalle/Material-Animations,Java,13448,40,13,27
LMAX-Exchange/disruptor,Java,13112,226,13,213
apache/rocketmq,Java,12549,1125,155,970
alibaba/ARouter,Java,12508,733,17,716
orhanobut/logger,Java,12499,183,50,133
Tencent/QMUI_Android,Java,12316,988,318,670
apache/shardingsphere,Java,12286,3763,119,3644
dyc87112/SpringBoot-Learning,Java,12264,35,27,8
greenrobot/greenDAO,Java,12237,931,172,759
Bigkoo/Android-PickerView,Java,12214,870,349,521
facebook/stetho,Java,12091,366,56,310
Curzibn/Luban,Java,12084,350,124,226
daimajia/AndroidSwipeLayout,Java,11898,497,351,146
eclipse/deeplearning4j,Java,11826,5388,961,4427
Konloch/bytecode-viewer,Java,11630,224,59,165
elunez/eladmin,Java,11612,417,12,405
zhihu/Matisse,Java,11585,669,369,300
